Bus_name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat_Availability,Bus Link,Bus Route
Laxmi holidays,VE A/C Sleeper (2+1),23:55,06:45,06h 50m,570,4.3,27 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:42,05h 47m,540,4.7,21 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,412,3.1,11 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:05,04:45,07h 40m,455,4.5,21 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
Laxmi holidays,VE A/C Sleeper (2+1),23:05,06:45,07h 40m,570,4.5,27 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:35,06:20,07h 45m,455,4.3,25 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:50,05:42,06h 52m,540,4.6,19 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,Jalandhar to Delhi
New Navyug Travels,A/C Sleeper (2+1),22:00,06:10,08h 10m,625,4.1,24 Seats available,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:55,07h 35m,484,4.5,26 Seats available,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),21:50,06:05,08h 15m,499,4.7,21 Seats available,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,Delhi to Jalandhar
PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,04:00,05h 30m,454,3.3,35 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala,Delhi Airport to Patiala
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,450,4.6,22 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,569,4.8,14 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:42,05h 47m,540,4.7,19 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
Laxmi holidays,VE A/C Sleeper (2+1),23:55,06:45,06h 50m,600,4.3,27 Seats available,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
,,,,,,,,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport
RSRTC - 156675,Express Non AC Seater 2+3,22:30,05:15,06h 45m,436,2.2,36 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
Yolo Bus,Bharat Benz A/C Sleeper (2+1),23:05,04:44,05h 39m,680,4.6,15 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:00,06h 40m,484,4.6,26 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
AdGolden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05:45,06h 20m,649,4.0,24 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,Delhi Airport to Ludhiana
Yolo Bus,VE A/C Seater / Sleeper (2+1),23:26,06:16,06h 50m,480,4.6,19 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:50,05:42,06h 52m,540,4.6,19 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:05,04:45,07h 40m,455,4.5,21 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:40,04:00,06h 20m,540,4.6,30 Seats available,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
,,,,,,,,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,Jalandhar to Delhi Airport
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:20,04:45,07h 25m,455,4.6,21 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,05:42,06h 37m,540,4.6,19 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
Laxmi holidays,VE A/C Sleeper (2+1),23:10,06:45,07h 35m,600,4.5,27 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
Yolo Bus,VE A/C Seater / Sleeper (2+1),21:37,04:18,06h 41m,600,4.4,22 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
,,,,,,,,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,Phagwara to Delhi Airport
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:35,08h 35m,1107,3.8,37 Seats available,https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,07:50,08h 10m,513,4.6,31 Seats available,https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:30,07h 10m,484,4.4,26 Seats available,https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:00,06:00,08h 00m,491,4.4,17 Seats available,https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
IntrCity SmartBus,,20:30,03:50,07h 20m,569,4.9,8 Seats available,https://www.redbus.in/bus-tickets/delhi-to-phagwara,Delhi to Phagwara
Yolo Bus,Bharat Benz A/C Sleeper (2+1),23:05,05:49,06h 44m,680,4.6,15 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,08:00,08h 20m,540,4.5,31 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:55,07h 35m,484,4.5,26 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,06:45,07h 15m,569,4.4,14 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,Delhi Airport to Jalandhar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:20,04:45,07h 25m,455,4.6,21 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:05,05:42,06h 37m,540,4.6,19 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
Laxmi holidays,VE A/C Sleeper (2+1),23:10,06:45,07h 35m,570,4.5,27 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
Yolo Bus,VE A/C Seater / Sleeper (2+1),21:37,04:18,06h 41m,600,4.4,22 Seats available,https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/phagwara-to-delhi,Phagwara to Delhi
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:50,08:20,10h 30m,1269,3.4,37 Seats available,https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
RSRTC - 156675,Express Non AC Seater 2+3,22:30,08:30,10h 00m,650,1.7,42 Seats available,https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,07:30,09h 10m,450,4.6,26 Seats available,https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
AdBhawani Travels,A/C Seater / Sleeper (2+2),22:00,07:15,09h 15m,2000,3.9,50 Seats available,https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-amritsar,Delhi to Amritsar
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),21:20,05:10,07h 50m,600,4.2,28 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:30,04:45,09h 15m,608,4.5,21 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:45,05:45,08h 00m,600,4.4,20 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,04:00,08h 00m,600,4.5,30 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/amritsar-to-delhi,Amritsar to Delhi
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:50,07:00,09h 10m,760,4.6,17 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
Yolo Bus,VE A/C Seater / Sleeper (2+1),21:45,06:16,08h 31m,600,4.6,17 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
RS YADAV SMART BUS,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),21:30,05:50,08h 20m,799,4.6,6 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,04:00,08h 00m,600,4.5,30 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:30,04:45,09h 15m,640,4.5,21 Seats available,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,Amritsar to Delhi Airport
PEPSU (Punjab) - 67121,Volvo AC Seater (2+2),21:00,05:35,08h 35m,1107,3.8,37 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,Delhi Airport to Phagwara
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:40,07:50,08h 10m,540,4.6,31 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,Delhi Airport to Phagwara
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:20,05:30,07h 10m,484,4.4,26 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,Delhi Airport to Phagwara
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:00,06:00,08h 00m,499,4.4,17 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,Delhi Airport to Phagwara
IntrCity SmartBus,,20:30,03:50,07h 20m,569,4.9,8 Seats available,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,Delhi Airport to Phagwara
Bihar state road transport corporation (BSRTC) - 137431,Volvo AC Seater 2+2,19:10,11:59,16h 49m,1020,4.0,26 Seats available,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Chandani Travels,A/C Seater / Sleeper (2+2),18:00,09:30,15h 30m,899,3.2,4 Seats available,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),19:00,11:49,16h 49m,1050,1.3,56 Seats available,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Travel Point World LLP,A/C Seater / Sleeper (2+2),20:20,10:50,14h 30m,1999,1.9,38 Seats available,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),20:00,14:30,18h 30m,1079,1.0,72 Seats available,https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,550,4.0,54 Seats available,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,585,3.4,28 Seats available,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,630,1.9,6 Seats available,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,350,2.5,51 Seats available,https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah
Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,230,3.1,27 Seats available,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,550,4.5,35 Seats available,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,630,1.2,,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,550,2.7,54 Seats available,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari
Travel Point World LLP,A/C Seater / Sleeper (2+2),18:20,10:50,16h 30m,1898,1.7,38 Seats available,https://www.redbus.in/bus-tickets/motihari-to-delhi,Motihari to Delhi
Baba Khatushyam Travels Pvt Ltd,A/C Seater / Sleeper (3+1),17:35,11:49,18h 14m,1050,1.0,56 Seats available,https://www.redbus.in/bus-tickets/motihari-to-delhi,Motihari to Delhi
Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,02:00,05h 30m,285,2.3,24 Seats available,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,630,1.9,10 Seats available,https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:30,05:00,10h 30m,630,2.1,10 Seats available,https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Balmiki Nagar (bihar) to Patna (Bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,06:00,09h 32m,630,3.4,6 Seats available,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar)
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,07:00,08h 20m,585,2.2,28 Seats available,https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar,Patna (Bihar) to Balmiki Nagar (bihar)
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,05:40,08h 15m,468,3.7,5 Seats available,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Aitiana Airwings,Benz A/C Sleeper (2+1),21:00,06:00,09h 00m,650,4.2,3 Seats available,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,06:35,08h 25m,900,4.1,3 Seats available,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),21:25,06:20,08h 55m,700,4.4,1 Seat available,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Divya Rath,,20:45,05:45,09h 00m,675,4.4,1 Seat available,https://www.redbus.in/bus-tickets/patna-to-purnea,Patna (Bihar) to Purnea
Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,06:30,09h 05m,468,3.2,5 Seats available,https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Sri Krishna Rath,A/C Seater / Sleeper (2+2),21:00,06:05,09h 05m,720,1.4,21 Seats available,https://www.redbus.in/bus-tickets/patna-to-katihar,Patna (Bihar) to Katihar
Bihar state road transport corporation (BSRTC) - 153594,AC Seater (2+2),20:41,06:00,09h 19m,525,2.7,11 Seats available,https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
MAA SHANTI TRAVELS,A/C Seater/Sleeper (2+1),21:25,06:45,09h 20m,800,4.0,9 Seats available,https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),20:27,04:15,07h 48m,900,4.3,8 Seats available,https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
Rekha Luxury,A/C Seater / Sleeper (2+1),20:00,06:00,10h 00m,638,4.0,4 Seats available,https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
,,,,,,,,https://www.redbus.in/bus-tickets/patna-to-ranchi,Patna (Bihar) to Ranchi
Bihar state road transport corporation (BSRTC) - 153614,AC Seater (2+2),23:15,05:30,06h 15m,377,3.3,21 Seats available,https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
MAA SHANTI TRAVELS,A/C Seater/Sleeper (2+1),23:30,06:35,07h 05m,550,4.2,27 Seats available,https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
Mahuli Travels,A/C Seater/Sleeper (2+1),23:59,06:15,06h 16m,510,3.8,26 Seats available,https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
Rajdhani bus service,A/C Sleeper (2+1),23:59,05:50,05h 51m,648,4.3,10 Seats available,https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
,,,,,,,,https://www.redbus.in/bus-tickets/hazaribagh-to-patna,Hazaribagh to Patna (Bihar)
Bihar state road transport corporation (BSRTC) - 153614,AC Seater (2+2),20:55,05:30,08h 35m,500,3.6,21 Seats available,https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:20,05:55,07h 35m,788,4.6,8 Seats available,https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
Divya Rath,A/C Sleeper (2+1),22:10,05:30,07h 20m,1080,4.3,6 Seats available,https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
MAA SHANTI TRAVELS,A/C Seater/Sleeper (2+1),21:00,06:35,09h 35m,550,3.7,13 Seats available,https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
,,,,,,,,https://www.redbus.in/bus-tickets/ranchi-to-patna,Ranchi to Patna (Bihar)
Jai Mata Di Tour and Travels,AC Seater (2+2),17:45,04:45,11h 00m,855,3.2,13 Seats available,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi,Muzaffarpur (Bihar) to Ranchi
